Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7
1469782800.0 123.2 339 NA NA NA NA NA NA 468 NA NA NA NA NA NA 971 NA NA NA NA NA NA 633 NA NA NA NA NA NA
1469782800.0 123.3 290 NA NA NA NA NA NA 422 NA NA NA NA NA NA 644 NA NA NA NA NA NA 506 NA NA NA NA NA NA
1469782800.0 124.1 332 NA NA NA NA NA NA 428 NA NA NA NA NA NA 649 NA NA NA NA NA NA 507 NA NA NA NA NA NA
1469782800.0 124.2 334 NA NA NA NA NA NA 468 NA NA NA NA NA NA 1039 NA NA NA NA NA NA 654 NA NA NA NA NA NA
1469782800.0 124.4 318 NA NA NA NA NA NA 454 NA NA NA NA NA NA 651 NA NA NA NA NA NA 513 NA NA NA NA NA NA
1469782800.0 124.5 339 NA NA NA NA NA NA 428 NA NA NA NA NA NA 657 NA NA NA NA NA NA 506 NA NA NA NA NA NA
1469782800.0 124.6 296 NA NA NA NA NA NA 419 NA NA NA NA NA NA 637 NA NA NA NA NA NA 572 NA NA NA NA NA NA
1469782800.0 125.0 79 97 376 NA NA NA NA 162 214 472 NA NA NA NA 6713 799 1102 NA NA NA NA 2607 547 1024 NA NA NA NA
1469782800.0 126.0 53 83 369 NA NA NA NA 112 194 461 NA NA NA NA 1418 325 491 NA NA NA NA 682 224 462 NA NA NA NA
1469782800.0 127.0 55 85 359 NA NA NA NA 110 189 471 NA NA NA NA 1199 326 450 NA NA NA NA 550 229 428 NA NA NA NA
1469782800.0 128.0 51 93 363 NA NA NA NA 97 197 453 NA NA NA NA 708 406 573 NA NA NA NA 489 323 553 NA NA NA NA
1469782800.0 129.0 52 90 373 NA NA NA NA 101 196 466 NA NA NA NA 725 404 564 NA NA NA NA 505 294 568 NA NA NA NA
1469782800.0 13.0 NA 91 367 0 NA NA NA NA 212 445 0 NA NA NA NA 274 856 294 NA NA NA NA 229 502 304 NA NA NA
1469782800.0 130.0 61 91 360 NA NA NA NA 102 205 457 NA NA NA NA 807 401 582 NA NA NA NA 511 297 568 NA NA NA NA
1469782800.0 1301.0 83 174 195 NA NA NA NA 170 296 277 NA NA NA NA 3940 838 677 NA NA NA NA 3006 626 709 NA NA NA NA
1469782800.0 1302.0 92 185 195 NA NA NA NA 167 298 295 NA NA NA NA 12781 1196 1126 NA NA NA NA 4081 746 847 NA NA NA NA
1469782800.0 1303.0 90 186 194 NA NA NA NA 156 299 298 NA NA NA NA 18590 914 1478 NA NA NA NA 6490 665 923 NA NA NA NA
1469782800.0 1306.0 NA 194 443 0 NA NA NA NA 301 559 0 NA NA NA NA 897 3065 1983 NA NA NA NA 678 3016 2015 NA NA NA
1469782800.0 1307.0 NA 164 203 53 0 NA NA NA 300 273 89 0 NA NA NA 887 1664 70 724 NA NA NA 942 1639 78 736 NA NA
1469782800.0 1308.0 NA 163 207 47 0 NA NA NA 286 273 87 0 NA NA NA 893 1573 53 707 NA NA NA 1055 1582 58 722 NA NA
1469782800.0 1309.0 NA 210 465 0 NA NA NA NA 315 568 0 NA NA NA NA 1251 3738 1944 NA NA NA NA 789 3352 1968 NA NA NA
1469782800.0 1310.0 NA 199 450 0 NA NA NA NA 309 566 0 NA NA NA NA 1174 3393 1920 NA NA NA NA 820 3028 1938 NA NA NA
1469782800.0 1311.0 NA 187 442 0 70 NA NA NA 332 546 0 106 NA NA NA 1066 2491 1763 141 NA NA NA 911 2463 1782 193 NA NA
1469782800.0 1312.0 NA 196 449 0 NA NA NA NA 339 555 0 NA NA NA NA 823 2227 1460 NA NA NA NA 543 1912 1475 NA NA NA
1469782800.0 1313.0 NA 201 475 0 NA NA NA NA 337 588 0 NA NA NA NA 1048 4300 1803 NA NA NA NA 741 3053 1820 NA NA NA
1469782800.0 1314.0 NA 199 448 0 NA NA NA NA 312 565 0 NA NA NA NA 1267 3652 2224 NA NA NA NA 893 3398 2243 NA NA NA
1469782800.0 1315.0 NA 195 436 0 NA NA NA NA 305 550 0 NA NA NA NA 1011 3102 1787 NA NA NA NA 751 3027 1802 NA NA NA
1469782800.0 1316.0 NA 188 443 0 NA NA NA NA 316 547 0 NA NA NA NA 1071 3221 1942 NA NA NA NA 761 3128 1960 NA NA NA
1469782800.0 1317.0 NA 194 440 0 NA NA NA NA 306 571 0 NA NA NA NA 1041 3256 1821 NA NA NA NA 782 3127 1840 NA NA NA
1469782800.0 1318.0 NA 182 445 0 NA NA NA NA 317 569 0 NA NA NA NA 610 1905 1202 NA NA NA NA 446 1844 1210 NA NA NA
1469782800.0 1319.0 NA 185 435 0 NA NA NA NA 315 548 0 NA NA NA NA 978 2815 1727 NA NA NA NA 746 2996 1752 NA NA NA
1469782800.0 132.0 76 92 375 NA NA NA NA 152 193 472 NA NA NA NA 7173 521 1295 NA NA NA NA 2219 341 967 NA NA NA NA
1469782800.0 1321.0 NA 187 443 0 NA NA NA NA 326 557 0 NA NA NA NA 1286 3181 2310 NA NA NA NA 935 3132 2775 NA NA NA
1469782800.0 1322.0 NA 194 437 0 NA NA NA NA 305 560 0 NA NA NA NA 1020 2845 1822 NA NA NA NA 795 2669 1848 NA NA NA
1469782800.0 1323.0 NA 188 432 0 NA NA NA NA 316 547 0 NA NA NA NA 895 2771 1823 NA NA NA NA 776 2793 1943 NA NA NA
1469782800.0 1324.0 NA 197 460 0 NA NA NA NA 335 560 0 NA NA NA NA 860 2018 1136 NA NA NA NA 509 1774 1144 NA NA NA
1469782800.0 1325.0 NA 197 461 0 82 NA NA NA 328 570 0 118 NA NA NA 1162 3340 1797 216 NA NA NA 780 2874 1819 260 NA NA
1469782800.0 1325.1 NA 196 220 0 NA NA NA NA 326 288 0 NA NA NA NA 545 327 173 NA NA NA NA 385 298 182 NA NA NA
1469782800.0 1325.2 NA 197 456 0 NA NA NA NA 329 560 0 NA NA NA NA 864 2201 1425 NA NA NA NA 538 1833 1455 NA NA NA
1469782800.0 1326.0 NA 200 448 0 NA NA NA NA 336 569 0 NA NA NA NA 1049 2911 1858 NA NA NA NA 962 2707 1891 NA NA NA
1469782800.0 1327.0 NA 189 445 0 NA NA NA NA 320 558 0 NA NA NA NA 640 1845 1164 NA NA NA NA 460 1760 1174 NA NA NA
1469782800.0 1328.0 NA 201 457 0 NA NA NA NA 334 572 0 NA NA NA NA 1097 3190 1917 NA NA NA NA 802 2916 1959 NA NA NA
1469782800.0 1329.0 NA 195 450 0 NA NA NA NA 329 545 0 NA NA NA NA 1054 2829 1782 NA NA NA NA 734 2692 1799 NA NA NA
1469782800.0 133.0 82 97 378 NA NA NA NA 166 200 468 NA NA NA NA 12675 716 950 NA NA NA NA 3721 470 714 NA NA NA NA
