Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5
1470733200.0 136.722 NA 162 246 0 NA NA 227 324 0 NA NA 4736 9773 1081 NA NA 5612 25035 1109 NA
1470733200.0 136.723 NA 169 242 0 NA NA 227 299 0 NA NA 4460 9591 1005 NA NA 4575 13345 1055 NA
1470733200.0 136.726 NA 161 234 0 NA NA 226 305 0 NA NA 5107 10071 1045 NA NA 5419 12783 1156 NA
1470733200.0 136.727 NA 188 244 0 NA NA 278 314 0 NA NA 4661 9087 1071 NA NA 4883 12530 1273 NA
1470733200.0 136.729 NA 155 236 0 NA NA 221 301 0 NA NA 4304 9693 990 NA NA 4569 12411 1202 NA
1470733200.0 136.73 NA 166 260 0 NA NA 225 332 0 NA NA 4633 9794 1080 NA NA 5506 24944 1115 NA
1470733200.0 136.731 NA 161 235 0 NA NA 225 304 0 NA NA 4892 9881 1060 NA NA 5256 12774 1148 NA
1470733200.0 136.732 NA 163 235 0 NA NA 224 294 0 NA NA 3467 9814 1365 NA NA 3966 15097 1427 NA
1470733200.0 136.7321 NA 167 260 0 NA NA 225 319 0 NA NA 2544 6837 968 NA NA 3365 23162 984 NA
1470733200.0 136.734 NA 159 237 0 NA NA 227 304 0 NA NA 4674 9648 1051 NA NA 4797 12521 1257 NA
1470733200.0 136.735 NA 155 213 0 NA NA 212 275 0 NA NA 1019 1838 835 NA NA 2005 2181 880 NA
1470733200.0 1361.0 59 166 240 0 NA 157 212 309 0 NA 6286 715 1083 1612 NA 9774 1251 7763 1842 NA
1470733200.0 1362.0 58 150 241 0 NA 157 214 309 0 NA 6700 691 1057 1629 NA 10315 11166 1764 1646 NA
1470733200.0 139901.0 NA 163 234 0 NA NA 224 310 0 NA NA 724 1126 1635 NA NA 841 2411 1661 NA
1470733200.0 13992501.0 NA 207 293 0 NA NA 274 408 0 NA NA 3659 4800 1711 NA NA 7441 23939 1727 NA
1470733200.0 145.0 NA 235 276 0 NA NA 307 499 0 NA NA 5964 5482 524 NA NA 6155 6514 575 NA
1470733200.0 17.0 NA 78 191 0 NA NA 152 255 0 NA NA 2045 1000 567 NA NA 2134 1255 641 NA
1470733200.0 18.0 NA 80 191 0 NA NA 152 256 0 NA NA 2057 835 599 NA NA 2253 1170 658 NA
1470733200.0 2.0 53 65 127 NA NA 98 136 175 NA NA 10076 728 819 NA NA 10379 749 852 NA NA
1470733200.0 204.0 50 82 203 0 NA 98 150 271 0 NA 7910 668 1103 647 NA 13324 1174 1173 1387 NA
1470733200.0 23.0 NA 82 195 0 NA NA 152 255 0 NA NA 2323 1753 657 NA NA 2456 1898 680 NA
1470733200.0 25.0 NA 93 204 0 59 NA 152 271 0 98 NA 2566 3012 684 79 NA 2739 7995 774 134
1470733200.0 250199.0 144 NA NA NA NA 212 NA NA NA NA 5122 NA NA NA NA 10067 NA NA NA NA
1470733200.0 250200.0 NA 224 280 0 NA NA 327 358 0 NA NA 13419 3347 1416 NA NA 20384 4072 1605 NA
1470733200.0 250200.1 58 195 181 NA NA 105 262 236 NA NA 8548 2543 2238 NA NA 9231 3659 2397 NA NA
1470733200.0 250202.0 NA 241 285 0 NA NA 332 368 0 NA NA 14986 3952 1489 NA NA 15663 6327 11096 NA
1470733200.0 250203.0 NA 233 272 0 NA NA 349 350 0 NA NA 14150 2966 1439 NA NA 14798 5908 11096 NA
1470733200.0 250204.0 NA 221 272 0 NA NA 334 355 0 NA NA 13810 3032 1462 NA NA 16615 10707 3154 NA
1470733200.0 250206.0 NA 217 269 0 NA NA 329 349 0 NA NA 13095 3397 1510 NA NA 16593 10833 3203 NA
