Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4
1470520800.0 4.63 NA 34 212 0 NA 78 268 0 NA 150 7342 514 NA 255 7554 554
1470520800.0 4.64 NA 31 213 0 NA 77 269 0 NA 176 8061 609 NA 201 8159 628
1470520800.0 4.67 NA 53 222 0 NA 90 275 0 NA 142 8457 570 NA 182 10978 586
1470520800.0 4.68 NA 46 216 0 NA 86 268 0 NA 155 7326 558 NA 179 7616 583
1470520800.0 4.73 NA 32 216 0 NA 80 271 0 NA 150 7016 503 NA 177 7284 537
1470520800.0 4.75 NA 34 212 0 NA 79 268 0 NA 147 6685 514 NA 180 6909 542
1470520800.0 500200.0 NA 122 225 0 NA 192 301 0 NA 4200 1779 549 NA 4584 1961 579
1470520800.0 500200.1 57 95 162 NA 104 156 222 NA 6667 593 1288 NA 6921 814 1400 NA
1470520800.0 500203.0 NA 117 227 0 NA 197 298 0 NA 4325 1628 555 NA 4740 1860 597
1470520800.0 500204.0 NA 119 228 0 NA 193 301 0 NA 4329 1816 548 NA 5349 2070 597
1470520800.0 500205.0 NA 117 233 0 NA 188 310 0 NA 4253 2034 551 NA 5391 2284 574
1470520800.0 500206.0 NA 115 226 0 NA 196 297 0 NA 4271 1964 565 NA 5351 2263 588
1470520800.0 50202.0 NA 110 258 0 NA 165 343 0 NA 1448 2859 556 NA 2819 4402 592
1470520800.0 50203.0 NA 103 255 0 NA 161 336 0 NA 1643 2463 619 NA 3331 3075 642
1470520800.0 50207.0 NA 98 253 0 NA 155 332 0 NA 1596 2345 615 NA 3239 3918 642
1470520800.0 50208.0 NA 111 256 0 NA 164 347 0 NA 1462 3438 540 NA 2927 5068 573
1470520800.0 512.0 14 29 0 NA 132 65 0 NA 12 29 15 NA 5504 37 31 NA
1470520800.0 519.0 14 29 0 NA 132 66 0 NA 14 25 15 NA 4285 87 35 NA
