Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7
1469916000.0 132.0 46 72 163 NA NA NA NA 90 115 225 NA NA NA NA 4520 624 1099 NA NA NA NA 4702 655 1168 NA NA NA NA
1469916000.0 133.0 54 83 166 NA NA NA NA 95 117 225 NA NA NA NA 10211 598 1323 NA NA NA NA 10499 626 1369 NA NA NA NA
1469916000.0 134.0 NA 184 39 0 NA NA NA NA 251 70 0 NA NA NA NA 4827 58 51 NA NA NA NA 5340 157 62 NA NA NA
1469916000.0 134.701 NA 88 200 0 NA NA NA NA 151 270 0 NA NA NA NA 1595 8659 1256 NA NA NA NA 1829 8824 1474 NA NA NA
1469916000.0 134.702 NA 91 196 0 NA NA NA NA 149 259 0 NA NA NA NA 1966 12599 1245 NA NA NA NA 2238 13635 1356 NA NA NA
1469916000.0 134.703 NA 90 201 0 NA NA NA NA 153 274 0 NA NA NA NA 1150 8377 583 NA NA NA NA 1347 8810 590 NA NA NA
1469916000.0 134.704 NA 90 199 0 NA NA NA NA 151 259 0 NA NA NA NA 1150 7442 596 NA NA NA NA 1204 7541 613 NA NA NA
1469916000.0 134.705 NA 102 205 0 NA NA NA NA 152 270 0 NA NA NA NA 2039 24404 1303 NA NA NA NA 2504 25119 1362 NA NA NA
1469916000.0 134.706 NA 92 204 0 NA NA NA NA 152 272 0 NA NA NA NA 2275 18375 1291 NA NA NA NA 2391 18689 1332 NA NA NA
1469916000.0 134.801 NA 99 195 0 NA NA NA NA 156 260 0 NA NA NA NA 1738 8739 1183 NA NA NA NA 1875 9210 1352 NA NA NA
1469916000.0 134.802 NA 99 197 0 NA NA NA NA 156 262 0 NA NA NA NA 2667 12877 1192 NA NA NA NA 2986 13434 1222 NA NA NA
1469916000.0 134.803 NA 97 200 0 NA NA NA NA 159 261 0 NA NA NA NA 1607 9674 519 NA NA NA NA 1662 9751 526 NA NA NA
1469916000.0 134.804 NA 99 210 0 NA NA NA NA 159 274 0 NA NA NA NA 1748 15305 571 NA NA NA NA 1795 15418 577 NA NA NA
1469916000.0 134.805 NA 100 214 0 NA NA NA NA 164 279 0 NA NA NA NA 1860 15576 567 NA NA NA NA 1908 15640 576 NA NA NA
1469916000.0 134.806 NA 98 211 0 NA NA NA NA 159 275 0 NA NA NA NA 2264 14486 522 NA NA NA NA 2320 14558 530 NA NA NA
1469916000.0 134.807 NA 110 207 0 NA NA NA NA 163 272 0 NA NA NA NA 2013 8039 632 NA NA NA NA 2090 8138 642 NA NA NA
1469916000.0 134.808 NA 106 203 0 NA NA NA NA 165 274 0 NA NA NA NA 1887 11987 552 NA NA NA NA 1951 12053 559 NA NA NA
1469916000.0 135.1 180 0 89 NA NA NA NA 244 0 140 NA NA NA NA 1458 264 471 NA NA NA NA 1683 279 556 NA NA NA NA
1469916000.0 135.11 180 0 90 NA NA NA NA 249 0 139 NA NA NA NA 1780 311 456 NA NA NA NA 1942 334 515 NA NA NA NA
1469916000.0 135.2 164 0 89 NA NA NA NA 225 0 134 NA NA NA NA 1017 253 389 NA NA NA NA 1114 274 474 NA NA NA NA
1469916000.0 135.3 162 0 86 NA NA NA NA 225 0 137 NA NA NA NA 948 243 308 NA NA NA NA 1103 255 351 NA NA NA NA
1469916000.0 135.5 171 0 87 NA NA NA NA 241 0 136 NA NA NA NA 1059 269 383 NA NA NA NA 1178 283 423 NA NA NA NA
1469916000.0 135.6 183 0 89 NA NA NA NA 243 0 139 NA NA NA NA 1322 265 443 NA NA NA NA 1477 285 568 NA NA NA NA
1469916000.0 135.7 175 0 89 NA NA NA NA 241 0 140 NA NA NA NA 1126 249 423 NA NA NA NA 1272 263 502 NA NA NA NA
1469916000.0 135.8 75 NA NA NA NA NA NA 127 NA NA NA NA NA NA 415 NA NA NA NA NA NA 473 NA NA NA NA NA NA
1469916000.0 135.9 176 0 88 NA NA NA NA 243 0 136 NA NA NA NA 1049 268 341 NA NA NA NA 1152 283 379 NA NA NA NA
1469916000.0 14.0 NA 67 166 0 NA NA NA NA 118 225 0 NA NA NA NA 3182 3361 948 NA NA NA NA 3231 3468 971 NA NA NA
1469916000.0 140.51 NA 36 188 0 NA NA NA NA 82 239 0 NA NA NA NA 5550 3008 1216 NA NA NA NA 5726 3908 1243 NA NA NA
1469916000.0 140.52 NA 186 178 0 NA NA NA NA 249 232 0 NA NA NA NA 3439 2714 1280 NA NA NA NA 3561 2811 1338 NA NA NA
1469916000.0 140.53 NA 210 0 NA NA NA NA NA 297 0 NA NA NA NA NA 7790 1361 NA NA NA NA NA 8365 1395 NA NA NA NA
1469916000.0 144.6 NA 151 NA NA NA NA NA NA 210 NA NA NA NA NA NA 2674 NA NA NA NA NA NA 3263 NA NA NA NA NA
1469916000.0 15.0 NA 63 160 0 NA NA NA NA 115 217 0 NA NA NA NA 2227 1561 955 NA NA NA NA 2375 1689 1009 NA NA NA
1469916000.0 16.0 NA 67 160 0 NA NA NA NA 118 224 0 NA NA NA NA 2365 2104 849 NA NA NA NA 2531 2233 875 NA NA NA
1469916000.0 17.0 NA 63 159 0 NA NA NA NA 115 225 0 NA NA NA NA 2308 1808 864 NA NA NA NA 2462 1932 889 NA NA NA
1469916000.0 18.0 NA 63 161 0 NA NA NA NA 115 217 0 NA NA NA NA 2193 1402 906 NA NA NA NA 2340 1504 946 NA NA NA
1469916000.0 19.0 NA 64 161 0 NA NA NA NA 114 225 0 NA NA NA NA 2224 1531 933 NA NA NA NA 2377 1667 984 NA NA NA
1469916000.0 2.0 51 82 118 NA NA NA NA 94 116 167 NA NA NA NA 6983 345 516 NA NA NA NA 7074 352 528 NA NA NA NA
1469916000.0 20.0 NA 66 159 0 NA NA NA NA 118 225 0 NA NA NA NA 2381 2133 886 NA NA NA NA 2534 2270 912 NA NA NA
1469916000.0 200.0 NA 73 181 0 NA NA NA NA 126 244 0 NA NA NA NA 1025 2332 989 NA NA NA NA 1402 2701 1025 NA NA NA
1469916000.0 202.0 NA 77 180 0 NA NA NA NA 127 247 0 NA NA NA NA 913 2479 930 NA NA NA NA 1337 2876 953 NA NA NA
1469916000.0 203.0 NA 72 176 0 NA NA NA NA 127 243 0 NA NA NA NA 873 1982 936 NA NA NA NA 1251 2371 966 NA NA NA
1469916000.0 205.0 NA 73 176 0 NA NA NA NA 127 243 0 NA NA NA NA 909 1984 926 NA NA NA NA 1319 2335 950 NA NA NA
1469916000.0 21.0 NA 66 163 0 NA NA NA NA 118 225 0 NA NA NA NA 2867 2432 937 NA NA NA NA 2904 2457 945 NA NA NA
1469916000.0 22.0 NA 73 166 0 NA NA NA NA 117 225 0 NA NA NA NA 3131 3606 1008 NA NA NA NA 3415 3671 1040 NA NA NA
1469916000.0 23.0 NA 69 164 0 NA NA NA NA 119 225 0 NA NA NA NA 3398 3416 1048 NA NA NA NA 3492 4257 1158 NA NA NA
1469916000.0 24.0 NA 69 167 0 NA NA NA NA 118 225 0 NA NA NA NA 3659 4854 1088 NA NA NA NA 3708 5158 1116 NA NA NA
1469916000.0 25.0 NA 69 168 0 59 NA NA NA 119 229 0 88 NA NA NA 3091 3538 593 78 NA NA NA 3159 3580 602 90 NA NA
1469916000.0 250199.0 105 NA NA NA NA NA NA 158 NA NA NA NA NA NA 2946 NA NA NA NA NA NA 5826 NA NA NA NA NA NA
1469916000.0 250200.1 58 125 160 NA NA NA NA 102 180 216 NA NA NA NA 6225 658 1649 NA NA NA NA 6334 734 1680 NA NA NA NA
1469916000.0 25400.0 0 NA NA NA NA NA NA 0 NA NA NA NA NA NA 162 NA NA NA NA NA NA 183 NA NA NA NA NA NA
1469916000.0 25400.1 191 0 89 NA NA NA NA 262 0 141 NA NA NA NA 1860 301 614 NA NA NA NA 2096 319 744 NA NA NA NA
1469916000.0 25400.2 0 NA NA NA NA NA NA 0 NA NA NA NA NA NA 167 NA NA NA NA NA NA 188 NA NA NA NA NA NA
1469916000.0 25400.3 196 0 93 NA NA NA NA 268 0 140 NA NA NA NA 2642 344 929 NA NA NA NA 3221 368 1103 NA NA NA NA
1469916000.0 25401.0 0 NA NA NA NA NA NA 0 NA NA NA NA NA NA 164 NA NA NA NA NA NA 173 NA NA NA NA NA NA
1469916000.0 25402.0 216 0 92 NA NA NA NA 299 0 141 NA NA NA NA 12517 331 1040 NA NA NA NA 13205 357 1522 NA NA NA NA
1469916000.0 25407.0 208 0 91 NA NA NA NA 278 0 140 NA NA NA NA 10252 335 741 NA NA NA NA 10907 360 826 NA NA NA NA
1469916000.0 25408.0 219 0 91 NA NA NA NA 303 0 141 NA NA NA NA 14248 320 1190 NA NA NA NA 16128 344 1290 NA NA NA NA
1469916000.0 26.0 NA 67 165 0 NA NA NA NA 118 226 0 NA NA NA NA 2631 2650 920 NA NA NA NA 2806 2773 933 NA NA NA
1469916000.0 27.0 NA 67 165 0 NA NA NA NA 117 220 0 NA NA NA NA 3228 2676 952 NA NA NA NA 3270 2727 968 NA NA NA
1469916000.0 28.0 NA 75 171 0 NA NA NA NA 118 225 0 NA NA NA NA 3497 4046 1043 NA NA NA NA 3551 4146 1067 NA NA NA
